,MDS1,MDS2,SVVS_Labels,True_labels,EM_labels
C2.042,-0.369473706,-0.028471846,1,1,1
C2.178,-0.363383123,0.037750696,1,1,2
C2.016,-0.321026859,0.013304488,1,1,2
C2.087,-0.275313294,-0.056067895,1,1,1
C2.180,-0.272991716,0.008874628,1,1,2
D2.176,-0.258544671,0.133268794,1,1,2
C2.089,-0.250352979,-0.082317091,1,1,1
C2.084,-0.248945551,-0.108959916,1,1,1
C2.164,-0.234165391,-0.191513613,1,1,1
D2.196,-0.231895502,0.058942219,1,1,2
C2.190,-0.226834747,-0.018798254,1,1,1
C2.079,-0.222071192,-0.000594735,1,1,2
D2.187,-0.21355155,0.078322717,1,1,2
C2.182,-0.208261304,-0.016973365,1,1,1
C2.177,-0.203997867,-0.02813941,1,1,1
C2.041,-0.200302241,-0.156911328,1,1,1
C2.102,-0.195575705,-0.020820631,1,1,1
C2.018,-0.189716611,-0.077508499,1,1,1
C2.043,-0.18918055,-0.173012691,1,1,1
C2.021,-0.188197472,-0.244943459,1,1,1
C2.142,-0.181204478,-0.13943384,1,1,1
C2.085,-0.17932036,-0.10911891,1,1,1
C2.174,-0.175243276,-0.015127264,1,1,1
C2.157,-0.17337345,0.027866334,1,1,2
C2.019,-0.172643543,-0.040938502,1,1,1
C2.123,-0.171448237,-0.020630981,1,1,1
C2.060,-0.170067339,-0.038043358,1,1,1
D2.017,-0.169618749,0.096282701,1,1,2
C2.001,-0.167146265,-0.026611431,1,1,1
C2.036,-0.165033657,-0.212332882,1,1,1
C2.149,-0.163796808,-0.046523936,1,1,1
C2.147,-0.155803564,-0.058399845,1,1,1
C2.020,-0.154232802,-0.080088324,1,1,1
D2.039,-0.153986034,0.077131203,1,1,2
D2.028,-0.150305438,0.062419022,1,1,2
C2.015,-0.150216985,-0.040762387,1,1,1
C2.077,-0.145145415,-0.146803306,1,1,1
C2.068,-0.143991751,0.017896811,1,1,2
D2.159,-0.142693747,0.116920386,2,2,2
C2.148,-0.141484228,-0.040887509,1,1,1
C2.117,-0.135752618,-0.053485953,1,1,1
D2.088,-0.132124754,0.124663654,1,1,2
C2.010,-0.130788088,0.018526742,1,1,2
C2.051,-0.129326878,-0.156221368,1,1,1
D2.022,-0.128474098,0.112133391,2,2,2
C2.137,-0.126936155,-0.065769122,1,1,1
C2.162,-0.126880756,-0.00753259,1,1,1
D2.066,-0.126388181,0.067531445,1,1,2
C2.037,-0.124802107,-0.03766556,1,1,1
C2.033,-0.123550571,-0.14698866,1,1,1
C2.175,-0.123280133,-0.046530672,1,1,1
C2.045,-0.120526452,-0.117899081,1,1,1
D2.129,-0.119922246,0.028947238,1,1,2
D2.075,-0.119114839,0.047448897,1,1,2
C2.078,-0.117193782,-0.1541593,1,1,1
D2.080,-0.114544313,0.083438499,1,1,2
D2.174,-0.113863122,0.058424997,1,1,2
D2.058,-0.113350819,0.060558285,2,2,2
D2.198,-0.108775167,0.086452564,2,2,2
C2.110,-0.108687669,-0.018516051,1,1,1
D2.119,-0.106923132,0.055935943,1,1,2
D2.103,-0.10560633,0.041145245,1,1,2
C2.115,-0.103666496,-0.019200782,1,1,1
D2.148,-0.102832782,0.067710383,2,2,2
D2.154,-0.102426705,0.075644124,2,2,2
D2.122,-0.101980326,0.05271451,2,2,2
D2.172,-0.101493633,0.065804898,2,2,2
C2.138,-0.101491259,-0.105556832,1,1,1
D2.155,-0.101035902,0.089862189,2,2,2
C2.058,-0.099784695,-0.113390311,1,1,1
C2.059,-0.099703833,-0.121753404,1,1,1
C2.031,-0.098444353,-0.167929495,1,1,1
C2.158,-0.098236404,-0.0189883,1,1,1
C2.035,-0.097146838,-0.147171678,1,1,1
D2.089,-0.097109992,0.040323022,1,1,2
D2.021,-0.097069856,0.092490852,2,2,2
D2.177,-0.095983816,0.106970605,2,2,2
C2.038,-0.095651688,-0.174601534,1,1,1
C2.034,-0.094798675,-0.132515335,1,1,1
D2.183,-0.094441067,0.140816667,2,2,2
D2.061,-0.091274497,0.047154346,2,2,2
D2.067,-0.091272617,0.048993653,2,2,2
D2.065,-0.090968814,0.045996745,2,2,2
C2.167,-0.08990496,-0.032717258,1,1,1
D2.157,-0.085788903,0.164211526,2,2,2
D2.136,-0.08454502,0.097610844,2,2,2
C2.053,-0.084227896,-0.106222684,1,1,1
D2.112,-0.083769907,0.054688865,2,2,2
D2.025,-0.083551582,0.083230405,2,2,2
C2.121,-0.081105379,-0.021737265,1,1,1
D2.029,-0.080984418,0.095272394,2,2,2
C2.143,-0.080474983,-0.122636297,1,1,1
D2.128,-0.080429794,0.103057472,2,2,2
C2.006,-0.079673325,-0.154652227,1,1,1
D2.182,-0.079492579,0.062197572,2,2,2
C2.095,-0.079056054,-0.169602619,1,1,1
C2.152,-0.077968727,-0.063435788,1,1,1
D2.180,-0.076941504,0.037558156,2,2,2
D2.009,-0.075862798,0.122555592,2,2,2
D2.199,-0.07562799,0.056321074,2,2,2
D2.179,-0.075563735,0.110221821,2,2,2
D2.178,-0.074309198,0.056975256,2,2,2
D2.175,-0.072780428,0.106723177,2,2,2
D2.016,-0.069119129,0.096075931,2,2,2
C2.145,-0.068986672,-0.052288057,1,1,1
D2.165,-0.068276437,0.07951302,2,2,2
D2.192,-0.06802677,0.06511832,2,2,2
D2.072,-0.067488271,0.058097842,2,2,2
C2.156,-0.06723279,-0.013019956,1,1,1
D2.068,-0.066997707,0.049486012,2,2,2
D2.109,-0.066700833,0.044775319,1,1,2
D2.063,-0.066657572,0.027937387,2,2,2
D2.189,-0.066490715,0.055822544,2,2,2
C2.027,-0.06633994,-0.124009769,1,1,1
D2.162,-0.064726896,0.091820801,2,2,2
D2.197,-0.064172289,0.138782249,2,2,2
D2.141,-0.063935181,0.031583694,2,2,2
C2.055,-0.063121726,-0.09198499,1,1,1
D2.078,-0.062628671,0.052710206,2,2,2
C2.044,-0.062575485,-0.185718612,1,1,1
D2.170,-0.062207684,0.074475063,2,2,2
D2.143,-0.062042618,0.090094577,2,2,2
D2.152,-0.060372827,0.125804239,2,2,2
D2.166,-0.059317922,0.109348659,2,2,2
C2.172,-0.059297659,-0.001135507,1,1,2
D2.057,-0.058431597,0.059999879,2,2,2
D2.010,-0.058220764,0.12052915,2,2,2
C2.057,-0.0577914,-0.19969575,1,1,1
D2.125,-0.057749436,0.09391755,2,2,2
C2.183,-0.057336247,-0.005614608,1,1,1
D2.064,-0.053288818,-0.006914505,1,1,1
D2.090,-0.053091986,0.074018696,2,2,2
D2.191,-0.05221741,0.060874633,2,2,2
C2.193,-0.052180117,-0.073217887,1,1,1
C2.017,-0.052105635,-0.179637566,1,1,1
C2.151,-0.051423187,-0.028952805,1,1,1
D2.164,-0.051061685,0.114343372,2,2,2
D2.184,-0.050928214,0.082454935,2,2,2
C2.032,-0.050230354,-0.194921521,1,1,1
C2.088,-0.049713757,-0.230708435,1,1,1
D2.163,-0.04952463,0.104429457,2,2,2
D2.102,-0.048735497,0.041356336,2,2,2
D2.142,-0.04749994,0.067702959,2,2,2
