,X,MDS1,MDS2,SVVS_Labels,EM_Labels
1,700013549,-0.221732226,-0.080903404,1,1
2,700014386,-0.159212296,-0.046080689,1,1
3,700014488,-0.053454682,-0.170860155,1,2
4,700014497,-0.071920871,-0.037850499,1,1
5,700014555,-0.178380182,-0.167407705,1,1
6,700014718,-0.069567536,-0.019763233,1,1
7,700014828,0.256071142,0.092286722,2,2
8,700014832,-0.251645899,0.000709946,1,1
9,700014954,-0.242717099,0.058410384,1,1
10,700015113,0.344735986,-0.146770166,2,2
11,700015179,-0.148232608,-0.121838916,1,1
12,700015245,-0.202270114,0.029881277,1,1
13,700015386,0.217552085,-0.055599855,2,2
14,700015390,0.214962035,-0.084246109,2,2
15,700015394,-0.172917889,-0.018274006,1,1
16,700015702,-0.155092154,0.002512383,1,1
17,700015857,0.255428759,0.061144216,2,2
18,700015922,0.34885013,-0.012987313,2,2
19,700015979,0.031200594,-0.141619384,2,2
20,700016000,0.097939418,-0.238181695,2,2
21,700016004,-0.061371531,-0.064865371,1,1
22,700016008,-0.161997856,0.003446623,1,1
23,700016136,0.124659368,-0.111485878,2,2
24,700016210,0.077647818,0.083231727,2,2
25,700016456,-0.224622115,-0.022325505,1,1
26,700016542,-0.117851043,0.247172763,1,2
27,700016608,-0.261597522,0.011160476,1,1
28,700016692,-0.057306726,0.042321237,1,1
29,700016764,-0.267499057,0.171465635,1,1
30,700016902,0.018623788,0.015654844,2,2
31,700016960,-0.047295542,0.129883518,1,2
32,700021295,-0.124591277,-0.116642607,1,1
33,700021677,-0.024100236,-0.125897181,1,1
34,700021807,-0.191384478,-0.07917718,1,1
35,700021902,0.333628472,0.19975042,2,2
36,700023066,-0.081364283,-0.094787877,1,1
37,700023188,0.234467287,0.118275836,2,2
38,700023237,-0.033132967,-0.042502386,1,1
39,700023290,-0.267909494,-0.063846104,1,1
40,700023447,-0.173083325,-0.049847284,1,1
41,700023509,-0.109799773,-0.165162129,1,1
42,700023551,-0.215925655,-0.103128542,1,1
43,700023603,-0.274704053,-0.079341841,1,1
44,700023634,-0.258857426,-0.114335616,1,1
45,700023701,-0.219820778,-0.095640141,1,1
46,700023815,0.073254143,-0.115887861,2,2
47,700023872,-0.037700019,-0.173126831,1,1
48,700023919,-0.001003986,-0.055701363,1,2
49,700023967,-0.188501902,-0.067403063,1,1
50,700024024,0.069659283,-0.00719357,2,2
51,700024086,-0.161606865,-0.094515929,1,1
52,700024141,0.163503109,-0.164092264,2,2
53,700024201,0.026479217,-0.125788669,1,2
54,700024234,-0.088221012,-0.045392496,1,1
55,700024296,-0.222357787,-0.007620702,1,1
56,700024349,-0.110059329,-0.052772449,1,1
57,700024408,-0.239176541,0.033907157,1,1
58,700024449,0.019402818,-0.151275128,2,2
59,700024492,-0.039452855,-0.136454802,1,2
60,700024545,0.050779196,-0.059750091,2,2
61,700024593,-0.028530412,0.012030155,1,2
62,700024646,-0.107988608,0.016695768,1,1
63,700024689,0.005580532,0.096339451,2,2
64,700024732,-0.129159003,0.137882335,1,2
65,700024789,0.057083372,-0.12106158,2,2
66,700024846,-0.114883716,-0.102192232,1,1
67,700024908,0.13804083,0.10571306,2,2
68,700024966,-0.125654563,-0.029168034,1,1
69,700032068,-0.065187905,0.26128162,1,1
70,700032132,0.265241927,0.05485743,2,2
71,700032222,0.041737428,0.108929776,1,1
72,700032316,0.268737777,0.542739941,2,2
73,700032413,-0.066719448,0.096770119,1,1
74,700032925,0.288184299,-0.239037586,2,2
75,700033130,-0.127059949,-0.147341218,1,1
76,700033201,-0.024291104,-0.067878046,1,2
77,700033363,0.113982959,0.010023367,2,2
78,700033436,0.019409253,-0.004443724,1,2
79,700033502,0.085379872,-0.008026281,2,2
80,700033559,-0.045949366,-0.000403321,1,1
81,700033664,-0.067633641,0.006689715,1,1
82,700033726,-0.043531866,-0.263731393,1,1
83,700033796,0.035312556,-0.279385923,2,2
84,700033922,0.105389613,-0.044737553,2,2
85,700033988,-0.193917144,0.275324089,1,1
86,700034081,-0.083115103,0.254123528,1,1
87,700034166,0.060209472,0.124963429,1,2
88,700034232,0.005963197,-0.050379217,1,2
89,700034622,-0.010592816,-0.225932534,1,1
90,700034772,-0.045038047,0.114472717,1,2
91,700034838,0.134418787,0.091632811,2,2
92,700034907,-0.133728271,0.047902462,1,1
93,700035157,0.179995884,0.188623881,2,2
94,700035237,-0.182082696,0.065707789,1,1
95,700035297,-0.004043845,0.253085661,1,1
96,700035369,0.103494987,0.08536282,2,2
97,700035373,0.291224489,-0.019011235,2,2
98,700035514,0.118503935,0.114977052,2,2
99,700035575,0.362876601,-0.046638339,2,2
100,700035635,0.137151014,0.040588003,2,2
101,700035728,0.192283597,-0.124656,2,2
102,700035785,-0.111231045,-0.2151043,1,1
103,700035842,-0.033473601,-0.036958974,1,1
104,700035931,-0.19785191,0.11090317,1,1
105,700037008,-0.095176932,0.098414192,1,1
106,700037042,0.07661433,-0.06813733,2,2
107,700037123,-0.262335958,-0.201372426,1,1
108,700037252,-0.077108537,-0.086281465,1,1
109,700037453,0.074246978,-0.046519209,2,2
110,700037539,-0.161227451,-0.076571168,1,1
111,700037700,0.045529098,-0.017559806,2,2
112,700038021,-0.258724994,-0.069443369,1,1
113,700038126,-0.200959429,-0.056344496,1,1
114,700038231,0.035828996,0.126335124,2,2
115,700038284,-0.256396456,-0.009439433,1,1
116,700038354,-0.101208575,0.014278245,1,1
117,700038392,-0.355292973,0.076912484,1,1
118,700038445,-0.074413941,-0.073488552,1,1
119,700038493,-0.094012588,-0.112351483,1,1
120,700038546,0.037966461,-0.065909146,1,2
121,700038594,-0.005409851,-0.113526979,2,2
122,700038702,-0.113565816,-0.121209961,1,1
123,700038741,-0.001283787,-0.17224765,1,2
124,700038870,-0.128554495,0.026415812,1,1
125,700038918,0.268121908,-0.062809374,2,2
126,700038956,-0.295151948,0.048137552,1,1
127,700095213,-0.012827908,0.082695772,1,1
128,700095353,-0.133215729,0.064837625,1,1
129,700095410,-0.012054107,0.096059088,1,2
130,700095467,-0.177640426,-0.001066604,1,1
131,700095524,-0.015472422,0.010924223,1,2
132,700095647,-0.264858371,-0.045588494,1,1
133,700095717,-0.124393939,-0.005039816,1,1
134,700095774,0.081949469,0.048283645,2,2
135,700095831,0.130293151,-0.0185625,2,2
136,700095956,-0.136955936,0.155276932,1,1
137,700096047,0.263780317,-0.02520183,2,2
138,700096104,0.232144019,0.13502775,2,2
139,700096161,-0.28026793,0.141013784,1,1
140,700096267,0.195741964,0.175217097,2,2
141,700096361,-0.240533041,-0.176959658,1,1
142,700096418,0.04414057,0.04964639,2,2
143,700096511,-0.100453875,0.136357296,1,1
144,700096568,0.020722237,0.220094889,1,1
145,700096590,0.217996122,0.009854994,2,2
146,700096700,0.365281749,-0.08082668,2,2
147,700096865,0.201569677,0.027382223,2,2
148,700096943,0.29424365,-0.182276388,2,2
149,700097000,-0.233271704,0.129815117,1,1
150,700097116,-0.030348951,-0.054103965,1,1
151,700097177,-0.063100149,0.072776871,1,1
152,700097234,0.080064262,0.097311555,2,2
