,C
ASV_357,0.176531961
ASV_305,0.087259832
ASV_515,0.087259832
ASV_634,0.087259832
ASV_476,0.087259832
ASV_611,0.087259832
ASV_872,0.087259832
ASV_817,0.087259832
ASV_1051,0.087259832
ASV_734,0.087259832
ASV_493,0.087259832
ASV_1213,0.087259832
ASV_942,0.028643667
ASV_484,0.071157035
ASV_544,0.071157035
ASV_667,0.071157035
ASV_527,0.071157035
ASV_522,0.071157035
ASV_510,0.071157035
ASV_780,0.071157035
ASV_408,0.071157035
ASV_745,0.071157035
ASV_623,0.071157035
ASV_498,0.071157035
ASV_507,0.071157035
ASV_632,0.071157035
ASV_571,0.071157035
ASV_647,0.071157035
ASV_754,0.071157035
ASV_695,0.071157035
ASV_964,0.071157035
ASV_1141,0.071157035
ASV_655,0.071157035
ASV_445,0.071157035
ASV_1308,0.071157035
ASV_539,0.071157035
ASV_602,0.071157035
ASV_705,0.071157035
ASV_1073,0.071157035
ASV_635,0.071157035
ASV_644,0.071157035
ASV_887,0.071157035
ASV_687,0.071157035
ASV_547,0.050251891
ASV_496,0.050251891
ASV_2234,0.050251891
ASV_560,0.050251891
ASV_792,0.050251891
ASV_1004,0.050251891
ASV_577,0.050251891
ASV_559,0.050251891
